Betashares Portfolio Holdings,
,
Fund Name,Betashares Australia 200 ETF
Fund ASX Code,A200
Date,2026-08-27
,
Ticker,Name,Asset Class,Sector,Country,Currency,Weight (%),Shares/Units (#),Market Value (AUD),Notional Value (AUD)
BHP AT,BHP GROUP LTD,Equities,Materials,Australia,AUD,12.44025628,20567209.0,1365662677.6,1365662677.6
CBA AT,COMMONWEALTH BANK OF AUSTRALIA,Equities,Financials,Australia,AUD,9.52719379,6749312.0,1045873387.52,1045873387.52
NAB AT,NATIONAL AUSTRALIA BANK LTD,Equities,Financials,Australia,AUD,4.29140451,12403910.0,471100501.8,471100501.8
WBC AT,WESTPAC BANKING CORP,Equities,Financials,Australia,AUD,4.24706073,13843009.0,466232543.12,466232543.12
ANZ AT,ANZ GROUP HOLDINGS LTD,Equities,Financials,Australia,AUD,4.05131476,12198135.0,444744002.1,444744002.1
MQG AT,MACQUARIE GROUP LTD,Equities,Financials,Australia,AUD,3.50421816,1532976.0,384684997.44,384684997.44
WES AT,WESFARMERS LTD,Equities,Consumer Discretionary,Australia,AUD,3.31956797,4586138.0,364414525.48,364414525.48
CSL AT,CSL LTD,Equities,Healthcare,Australia,AUD,3.06916044,1937689.0,336925363.32,336925363.32
RIO AT,RIO TINTO LTD,Equities,Materials,Australia,AUD,2.32494588,1428244.0,255227202.8,255227202.8
WDS AT,WOODSIDE ENERGY GROUP LTD,Equities,Energy,Australia,AUD,2.23617941,7671332.0,245482624.0,245482624.0
GMG AT,GOODMAN GROUP,Equities,Real Estate,Australia,AUD,2.04312023,8004605.0,224289032.1,224289032.1
TLS AT,TELSTRA GROUP LTD,Equities,Communication Services,Australia,AUD,1.88418733,45161953.0,206841744.74,206841744.74
WOW AT,WOOLWORTHS GROUP LTD,Equities,Consumer Staples,Australia,AUD,1.77661802,4931303.0,195033033.65,195033033.65
TCL AT,TRANSURBAN GROUP,Equities,Industrials,Australia,AUD,1.59923539,12630243.0,175560377.7,175560377.7
NST AT,NORTHERN STAR RESOURCES LTD,Equities,Materials,Australia,AUD,1.23632301,5576035.0,135720691.9,135720691.9
QBE AT,QBE INSURANCE GROUP LTD,Equities,Financials,Australia,AUD,1.2027479,6020743.0,132034893.99,132034893.99
COL AT,COLES GROUP LTD,Equities,Consumer Staples,Australia,AUD,1.1735055,5426484.0,128824730.16,128824730.16
EVN AT,EVOLUTION MINING LTD,Equities,Materials,Australia,AUD,1.16465308,8153886.0,127852932.48,127852932.48
ALL AT,ARISTOCRAT LEISURE LTD,Equities,Consumer Discretionary,Australia,AUD,1.15517494,2109673.0,126812444.03,126812444.03
FMG AT,FORTESCUE METALS GROUP LTD,Equities,Materials,Australia,AUD,1.02964663,6386002.0,113032235.4,113032235.4
STO AT,SANTOS LTD,Equities,Energy,Australia,AUD,0.9642952,13133760.0,105858105.6,105858105.6
BXB AT,BRAMBLES LTD,Equities,Industrials,Australia,AUD,0.96332251,5409275.0,105751326.25,105751326.25
S32 AT,SOUTH32 LTD,Equities,Materials,Australia,AUD,0.85916981,18103202.0,94317682.42,94317682.42
CPU AT,COMPUTERSHARE LTD,Equities,Industrials,Australia,AUD,0.74455216,2094164.0,81735220.92,81735220.92
ORG AT,ORIGIN ENERGY LTD,Equities,Utilities,Australia,AUD,0.73702407,6909377.0,80908804.67,80908804.67
SUN AT,SUNCORP GROUP LTD,Equities,Financials,Australia,AUD,0.73278655,4267566.0,80443619.1,80443619.1
SCG AT,SCENTRE GROUP,Equities,Real Estate,Australia,AUD,0.68617422,21099895.0,75326625.15,75326625.15
RMD AT,RESMED INC,Equities,Healthcare,Australia,AUD,0.67661557,2293217.0,74277298.63,74277298.63
IAG AT,INSURANCE AUSTRALIA GROUP LTD,Equities,Financials,Australia,AUD,0.67331924,9415979.0,73915435.15,73915435.15
PLS AT,PILBARA MINERALS LTD,Equities,Materials,Australia,AUD,0.59207581,12620722.0,64996718.3,64996718.3
SOL AT,WASHINGTON H SOUL PATTINSON &,Equities,Financials,Australia,AUD,0.56527961,1418078.0,62055093.28,62055093.28
NEM AT,NEWMONT CORP,Equities,Materials,Australia,AUD,0.56146581,338160.0,61636423.2,61636423.2
LYC AT,LYNAS RARE EARTHS LTD,Equities,Materials,Australia,AUD,0.54016023,3615704.0,59297545.6,59297545.6
QAN AT,QANTAS AIRWAYS LTD,Equities,Industrials,Australia,AUD,0.5323964,6050233.0,58445250.78,58445250.78
JHX AT,JAMES HARDIE INDUSTRIES PLC,Equities,Materials,Australia,AUD,0.52163471,1371918.0,57263857.32,57263857.32
APA AT,APA GROUP,Equities,Utilities,Australia,AUD,0.52050114,5305424.0,57139416.48,57139416.48
BSL AT,BLUESCOPE STEEL LTD,Equities,Materials,Australia,AUD,0.49283926,1764604.0,54102758.64,54102758.64
SIG AT,SIGMA HEALTHCARE LTD,Equities,Healthcare,Australia,AUD,0.49189263,20610244.0,53998839.28,53998839.28
XRO AT,XERO LTD,Equities,Information Technology,Australia,AUD,0.4841022,650234.0,53143624.82,53143624.82
MPL AT,MEDIBANK PVT LTD,Equities,Financials,Australia,AUD,0.47989291,11137746.0,52681538.58,52681538.58
MIN AT,MINERAL RESOURCES LTD,Equities,Materials,Australia,AUD,0.40954706,687764.0,44959132.68,44959132.68
TLC AT,LOTTERY CORP LTD/THE,Equities,Consumer Discretionary,Australia,AUD,0.40869912,8884366.0,44866048.3,44866048.3
ALQ AT,ALS LTD,Equities,Industrials,Australia,AUD,0.40572906,1989281.0,44540001.59,44540001.59
SFR AT,SANDFIRE RESOURCES LTD,Equities,Materials,Australia,AUD,0.39724661,1874036.0,43608817.72,43608817.72
ASX AT,ASX LTD,Equities,Financials,Australia,AUD,0.39578627,788253.0,43448505.36,43448505.36
SGP AT,STOCKLAND,Equities,Real Estate,Australia,AUD,0.39414645,9789251.0,43268489.42,43268489.42
NXT AT,NEXTDC LTD,Equities,Information Technology,Australia,AUD,0.38038368,3074937.0,41757644.46,41757644.46
ORI AT,ORICA LTD,Equities,Materials,Australia,AUD,0.37619826,1871236.0,41298178.52,41298178.52
CAR AT,CARSALES.COM LTD,Equities,Communication Services,Australia,AUD,0.37291975,1450169.0,40938270.87,40938270.87
ALD AT,AMPOL LTD,Equities,Energy,Australia,AUD,0.37032093,961973.0,40652978.98,40652978.98
VCX AT,VICINITY LTD,Equities,Real Estate,Australia,AUD,0.36008492,15939231.0,39529292.88,39529292.88
PME AT,PRO MEDICUS LTD,Equities,Healthcare,Australia,AUD,0.35039559,214604.0,38465620.96,38465620.96
TNE AT,TECHNOLOGY ONE LTD,Equities,Information Technology,Australia,AUD,0.3482332,1208225.0,38228239.0,38228239.0
SHL AT,SONIC HEALTHCARE LTD,Equities,Healthcare,Australia,AUD,0.33838743,1848129.0,37147392.9,37147392.9
RHC AT,RAMSAY HEALTH CARE LTD,Equities,Healthcare,Australia,AUD,0.33621116,737285.0,36908487.1,36908487.1
COH AT,COCHLEAR LTD,Equities,Healthcare,Australia,AUD,0.33096725,263740.0,36332822.4,36332822.4
PRU AT,PERSEUS MINING LTD,Equities,Materials,Australia,AUD,0.33092928,5398017.0,36328654.41,36328654.41
LNW AT,LIGHT & WONDER INC,Equities,Consumer Discretionary,Australia,AUD,0.32833831,281222.0,36044223.74,36044223.74
GPT AT,GPT GROUP/THE,Equities,Real Estate,Australia,AUD,0.32794515,7742164.0,36001062.6,36001062.6
CHC AT,CHARTER HALL GROUP,Equities,Real Estate,Australia,AUD,0.32008657,1771087.0,35138366.08,35138366.08
GMD AT,GENESIS MINERALS LTD,Equities,Materials,Australia,AUD,0.3186691,4189552.0,34982759.2,34982759.2
AMC AT,AMCOR PLC,Equities,Materials,Australia,AUD,0.31768732,535961.0,34874982.27,34874982.27
